xM,logK,absS,absA,cosdphi,alpha
-0.500000,-4.000000,5.032224e-04,2.705607e-03,-0.280083,-0.100703
-0.497487,-4.000000,5.014522e-04,2.664126e-03,-0.280083,-0.101829
-0.494975,-4.000000,4.996008e-04,2.621415e-03,-0.280083,-0.103017
-0.492462,-4.000000,4.976651e-04,2.577452e-03,-0.280083,-0.104272
-0.489950,-4.000000,4.956423e-04,2.532218e-03,-0.280083,-0.105598
-0.487437,-4.000000,4.935292e-04,2.485698e-03,-0.280083,-0.107001
-0.484925,-4.000000,4.913227e-04,2.437875e-03,-0.280083,-0.108488
-0.482412,-4.000000,4.890196e-04,2.388738e-03,-0.280083,-0.110064
-0.479899,-4.000000,4.866168e-04,2.338275e-03,-0.280083,-0.111737
-0.477387,-4.000000,4.841111e-04,2.286479e-03,-0.280083,-0.113514
-0.474874,-4.000000,4.814992e-04,2.233344e-03,-0.280083,-0.115405
-0.472362,-4.000000,4.787778e-04,2.178869e-03,-0.280083,-0.117420
-0.469849,-4.000000,4.759438e-04,2.123055e-03,-0.280083,-0.119568
-0.467337,-4.000000,4.729938e-04,2.065907e-03,-0.280083,-0.121863
-0.464824,-4.000000,4.699247e-04,2.007434e-03,-0.280083,-0.124318
-0.462312,-4.000000,4.667332e-04,1.947649e-03,-0.280083,-0.126948
-0.459799,-4.000000,4.634163e-04,1.886568e-03,-0.280083,-0.129769
-0.457286,-4.000000,4.599708e-04,1.824215e-03,-0.280083,-0.132801
-0.454774,-4.000000,4.563938e-04,1.760614e-03,-0.280083,-0.136065
-0.452261,-4.000000,4.526823e-04,1.695799e-03,-0.280083,-0.139586
-0.449749,-4.000000,4.488337e-04,1.629804e-03,-0.280083,-0.143390
-0.447236,-4.000000,4.448451e-04,1.562672e-03,-0.280083,-0.147509
-0.444724,-4.000000,4.407142e-04,1.494449e-03,-0.280083,-0.151977
-0.442211,-4.000000,4.364385e-04,1.425188e-03,-0.280083,-0.156833
-0.439698,-4.000000,4.320158e-04,1.354946e-03,-0.280083,-0.162124
-0.437186,-4.000000,4.274441e-04,1.283787e-03,-0.280083,-0.167897
-0.434673,-4.000000,4.227216e-04,1.211778e-03,-0.280083,-0.174211
-0.432161,-4.000000,4.178467e-04,1.138993e-03,-0.280083,-0.181124
-0.429648,-4.000000,4.128181e-04,1.065511e-03,-0.280083,-0.188703
-0.427136,-4.000000,4.076346e-04,9.914145e-04,-0.280083,-0.197014
-0.424623,-4.000000,4.022954e-04,9.167921e-04,-0.280083,-0.206117
-0.422111,-4.000000,3.967998e-04,8.417362e-04,-0.280083,-0.216054
-0.419598,-4.000000,3.911475e-04,7.663430e-04,-0.280083,-0.226822
-0.417085,-4.000000,3.853384e-04,6.907128e-04,-0.280083,-0.238331
-0.414573,-4.000000,3.793728e-04,6.149489e-04,-0.280083,-0.250311
-0.412060,-4.000000,3.732512e-04,5.391576e-04,-0.280083,-0.262155
-0.409548,-4.000000,3.669744e-04,4.634475e-04,-0.280083,-0.272623
-0.407035,-4.000000,3.605434e-04,3.879293e-04,-0.280083,-0.279334
-0.404523,-4.000000,3.539597e-04,3.127150e-04,-0.280083,-0.277947
-0.402010,-4.000000,3.472249e-04,2.379177e-04,-0.280083,-0.261195
-0.399497,-4.000000,3.403410e-04,1.636506e-04,-0.280083,-0.218770
-0.396985,-4.000000,3.333102e-04,9.002727e-05,-0.280083,-0.141014
